instanceType,instanceFamily,instanceFamilyName,location,currentGeneration,hypervisor,processorArchitectures,processorManufacturer,processor,vCpus,memorySizeInGiB,storage,nitroEnclavesSupport,onDemandLinuxHr,onDemandRhelHr,onDemandWindowsHr,reserved3yNoUpfrontLinuxHr,reserved3yNoUpfrontRhelHr,reserved3yNoUpfrontWindowsHr
c6g.medium,c,Compute optimized,af-south-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,EBS only,unsupported,0.0456,0.06,,0.0197,0.0341,
m6g.medium,m6g,General purpose,af-south-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,4.0,EBS only,unsupported,0.0508,0.0652,,0.0219,0.0363,
m6gd.medium,m6gd,General purpose,af-south-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,4.0,1 x 59 NVMe SSD,unsupported,0.06,0.0744,,0.0259,0.0403,
m7g.medium,m7g,General purpose,af-south-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,4.0,EBS only,unsupported,0.054,0.0684,,0.0233,0.0377,
r6g.medium,r6g,Memory optimized,af-south-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,8.0,EBS only,unsupported,0.0672,0.0816,,0.029,0.0434,
t3.nano,t,General purpose,af-south-1,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,0.5,EBS only,unsupported,0.0068,,0.0114,0.0029,,0.0075
t4g.nano,t,General purpose,af-south-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,0.5,EBS only,unsupported,0.0054,,,0.0023,,
t3.micro,t,General purpose,af-south-1,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,1.0,EBS only,unsupported,0.0136,0.0424,0.0228,0.0059,0.0347,0.0151
t4g.micro,t,General purpose,af-south-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,1.0,EBS only,unsupported,0.0108,0.0396,,0.0047,0.0335,
t3.small,t,General purpose,af-south-1,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,2.0,EBS only,unsupported,0.0271,0.0559,0.0455,0.0117,0.0405,0.0301
t4g.small,t,General purpose,af-south-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,2.0,EBS only,unsupported,0.0217,0.0505,,0.0094,0.0382,
c5.large,c,Compute optimized,af-south-1,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8124M,2.0,4.0,EBS only,unsupported,0.114,0.143,0.206,0.049,0.078,0.141
c5a.large,c,Compute optimized,af-south-1,1.0,nitro,x86_64,AMD,AMD EPYC 7R32,2.0,4.0,EBS only,unsupported,0.103,0.132,0.195,0.044,0.073,0.136
c5ad.large,c,Compute optimized,af-south-1,1.0,nitro,x86_64,AMD,AMD EPYC 7R32,2.0,4.0,1 x 75 NVMe SSD,unsupported,0.117,0.146,0.209,0.051,0.079,0.143
c5d.large,c,Compute optimized,af-south-1,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8124M,2.0,4.0,1 x 50 NVMe SSD,unsupported,0.13,0.159,0.222,0.056,0.085,0.148
