instanceType,instanceFamily,instanceFamilyName,location,currentGeneration,hypervisor,processorArchitectures,processorManufacturer,processor,vCpus,memorySizeInGiB,storage,nitroEnclavesSupport,onDemandLinuxHr,onDemandRhelHr,onDemandWindowsHr,reserved3yNoUpfrontLinuxHr,reserved3yNoUpfrontRhelHr,reserved3yNoUpfrontWindowsHr
c6g.medium,c,Compute optimized,ap-east-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,EBS only,unsupported,0.0385,0.0529,,,,
c6gn.medium,c,Compute optimized,ap-east-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,EBS only,unsupported,0.0491,0.0635,,,,
c7g.medium,c,Compute optimized,ap-east-2,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,2.0,EBS only,unsupported,0.0409,0.0553,,,,
m6g.medium,m6g,General purpose,ap-east-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,4.0,EBS only,unsupported,0.0446,0.059,,,,
m6gd.medium,m6gd,General purpose,ap-east-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,4.0,1 x 59 NVMe SSD,unsupported,0.0527,0.0671,,,,
m7g.medium,m7g,General purpose,ap-east-2,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,4.0,EBS only,unsupported,0.0474,0.0618,,,,
m7gd.medium,m7gd,General purpose,ap-east-2,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,4.0,1 x 59 NVMe SSD,unsupported,0.0621,0.0765,,,,
r6g.medium,r6g,Memory optimized,ap-east-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,8.0,EBS only,unsupported,0.0547,0.0691,,,,
r7g.medium,r7g,Memory optimized,ap-east-2,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,8.0,EBS only,unsupported,0.0581,0.0725,,,,
r7gd.medium,r7gd,Memory optimized,ap-east-2,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,8.0,1 x 59 NVMe SSD,unsupported,0.074,0.0884,,,,
t3.nano,t,General purpose,ap-east-2,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,0.5,EBS only,unsupported,0.0061,,0.0107,,,
t4g.nano,t,General purpose,ap-east-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,0.5,EBS only,unsupported,0.0049,,,,,
t3.micro,t,General purpose,ap-east-2,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,1.0,EBS only,unsupported,0.0122,0.041,0.0214,,,
t4g.micro,t,General purpose,ap-east-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,1.0,EBS only,unsupported,0.0097,0.0385,,,,
t3.small,t,General purpose,ap-east-2,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,2.0,EBS only,unsupported,0.0245,0.0533,0.0429,,,
