instanceType,instanceFamily,instanceFamilyName,location,currentGeneration,hypervisor,processorArchitectures,processorManufacturer,processor,vCpus,memorySizeInGiB,storage,nitroEnclavesSupport,onDemandLinuxHr,onDemandRhelHr,onDemandWindowsHr,reserved3yNoUpfrontLinuxHr,reserved3yNoUpfrontRhelHr,reserved3yNoUpfrontWindowsHr
c6g.medium,c,Compute optimized,ap-south-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,EBS only,unsupported,0.0213,0.0357,,0.0092,0.0236,
c7g.medium,c,Compute optimized,ap-south-2,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,2.0,EBS only,unsupported,0.0245,0.0389,,0.0111,0.0255,
m6g.medium,m6g,General purpose,ap-south-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,4.0,EBS only,unsupported,0.0253,0.0397,,0.0109,0.0253,
m6gd.medium,m6gd,General purpose,ap-south-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,4.0,1 x 59 NVMe SSD,unsupported,0.0302,0.0446,,0.013,0.0274,
m7g.medium,m7g,General purpose,ap-south-2,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,4.0,EBS only,unsupported,0.0292,0.0436,,0.0132,0.0276,
m8g.medium,m8g,General purpose,ap-south-2,1.0,nitro,arm64,AWS,AWS Graviton4 Processor,1.0,4.0,EBS only,unsupported,0.0321,0.0465,,0.0146,0.029,
r6g.medium,r6g,Memory optimized,ap-south-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,8.0,EBS only,unsupported,0.0325,0.0469,,0.014,0.0284,
r7g.medium,r7g,Memory optimized,ap-south-2,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,8.0,EBS only,unsupported,0.0375,0.0519,,0.017,0.0314,
r7gd.medium,r7gd,Memory optimized,ap-south-2,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,8.0,1 x 59 NVMe SSD,unsupported,0.044,0.0584,,0.019,0.0334,
t3.nano,t,General purpose,ap-south-2,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,0.5,EBS only,unsupported,0.0056,,0.0102,0.0024,,0.007
t4g.nano,t,General purpose,ap-south-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,0.5,EBS only,unsupported,0.0028,,,0.0012,,
t3.micro,t,General purpose,ap-south-2,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,1.0,EBS only,unsupported,0.0112,0.04,0.0204,0.0047,0.0335,0.0139
t4g.micro,t,General purpose,ap-south-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,1.0,EBS only,unsupported,0.0056,0.0344,,0.0024,0.0312,
t3.small,t,General purpose,ap-south-2,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,2.0,EBS only,unsupported,0.0224,0.0512,0.0408,0.0095,0.0383,0.0279
t4g.small,t,General purpose,ap-south-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,2.0,EBS only,unsupported,0.0112,0.04,,0.0047,0.0335,
c5.large,c,Compute optimized,ap-south-2,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8124M,2.0,4.0,EBS only,unsupported,0.085,0.114,0.177,0.037,0.066,0.129
c5d.large,c,Compute optimized,ap-south-2,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8124M,2.0,4.0,1 x 50 NVMe SSD,unsupported,0.099,0.128,0.191,0.043,0.072,0.135
c6a.large,c,Compute optimized,ap-south-2,1.0,nitro,x86_64,AMD,AMD EPYC 7R13 Processor,2.0,4.0,EBS only,unsupported,0.0467,0.0756,0.1388,0.0212,0.05,0.1132
c6g.large,c,Compute optimized,ap-south-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,4.0,EBS only,supported,0.0426,0.0714,,0.0184,0.0472,
