instanceType,instanceFamily,instanceFamilyName,location,currentGeneration,hypervisor,processorArchitectures,processorManufacturer,processor,vCpus,memorySizeInGiB,storage,nitroEnclavesSupport,onDemandLinuxHr,onDemandRhelHr,onDemandWindowsHr,reserved3yNoUpfrontLinuxHr,reserved3yNoUpfrontRhelHr,reserved3yNoUpfrontWindowsHr
c6g.medium,c,Compute optimized,ap-southeast-3,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,EBS only,unsupported,0.0392,0.0536,,0.0169,0.0313,
c6gd.medium,c,Compute optimized,ap-southeast-3,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,1 x 59 NVMe SSD,unsupported,0.045,0.0594,,0.0194,0.0338,
c6gn.medium,c,Compute optimized,ap-southeast-3,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,EBS only,unsupported,0.0496,0.064,,0.023,0.0374,
m6g.medium,m6g,General purpose,ap-southeast-3,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,4.0,EBS only,unsupported,0.048,0.0624,,0.0207,0.0351,
m6gd.medium,m6gd,General purpose,ap-southeast-3,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,4.0,1 x 59 NVMe SSD,unsupported,0.0565,0.0709,,0.0243,0.0387,
m7g.medium,m7g,General purpose,ap-southeast-3,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,4.0,EBS only,unsupported,0.051,0.0654,,0.0231,0.0375,
r6g.medium,r6g,Memory optimized,ap-southeast-3,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,8.0,EBS only,unsupported,0.0608,0.0752,,0.0263,0.0407,
r6gd.medium,r6gd,Memory optimized,ap-southeast-3,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,8.0,1 x 59 NVMe SSD,unsupported,0.0695,0.0839,,0.0302,0.0446,
r7g.medium,r7g,Memory optimized,ap-southeast-3,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,8.0,EBS only,unsupported,0.0646,0.079,,0.0293,0.0437,
r7gd.medium,r7gd,Memory optimized,ap-southeast-3,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,8.0,1 x 59 NVMe SSD,unsupported,0.0822,0.0966,,0.0355,0.0499,
t3.nano,t,General purpose,ap-southeast-3,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,0.5,EBS only,unsupported,0.0066,,0.0112,0.0028,,0.0074
t4g.nano,t,General purpose,ap-southeast-3,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,0.5,EBS only,unsupported,0.0053,,,0.0022,,
t3.micro,t,General purpose,ap-southeast-3,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,1.0,EBS only,unsupported,0.0132,0.042,0.0224,0.0056,0.0344,0.0148
t4g.micro,t,General purpose,ap-southeast-3,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,1.0,EBS only,unsupported,0.0106,0.0394,,0.0045,0.0333,
t3.small,t,General purpose,ap-southeast-3,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,2.0,EBS only,unsupported,0.0264,0.0552,0.0448,0.0112,0.04,0.0296
t4g.small,t,General purpose,ap-southeast-3,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,2.0,EBS only,unsupported,0.0212,0.05,,0.009,0.0378,
c5.large,c,Compute optimized,ap-southeast-3,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8124M,2.0,4.0,EBS only,unsupported,0.098,0.127,0.19,0.042,0.071,0.134
c5d.large,c,Compute optimized,ap-southeast-3,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8124M,2.0,4.0,1 x 50 NVMe SSD,unsupported,0.112,0.141,0.204,0.048,0.077,0.14
c6g.large,c,Compute optimized,ap-southeast-3,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,4.0,EBS only,supported,0.0784,0.1072,,0.0339,0.0627,
c6gd.large,c,Compute optimized,ap-southeast-3,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,4.0,1 x 118 NVMe SSD,supported,0.09,0.1188,,0.0389,0.0677,
c6gn.large,c,Compute optimized,ap-southeast-3,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,4.0,EBS only,supported,0.0992,0.128,,0.0459,0.0747,
c6in.large,c,Compute optimized,ap-southeast-3,1.0,nitro,x86_64,Intel,Intel Xeon 8375C (Ice Lake),2.0,4.0,EBS only,unsupported,0.1302,0.159,0.2222,0.0507,0.0795,0.1427
