instanceType,instanceFamily,instanceFamilyName,location,currentGeneration,hypervisor,processorArchitectures,processorManufacturer,processor,vCpus,memorySizeInGiB,storage,nitroEnclavesSupport,onDemandLinuxHr,onDemandRhelHr,onDemandWindowsHr,reserved3yNoUpfrontLinuxHr,reserved3yNoUpfrontRhelHr,reserved3yNoUpfrontWindowsHr
t2.nano,t,General purpose,ca-central-1,1.0,xen,"i386, x86_64",Intel,Intel Xeon Family,1.0,0.5,EBS only,unsupported,0.0064,,0.0087,0.0028,,0.0051
t2.micro,t,General purpose,ca-central-1,1.0,xen,"i386, x86_64",Intel,Intel Xeon Family,1.0,1.0,EBS only,unsupported,0.0128,0.0272,0.0174,0.0056,0.02,0.0102
c6g.medium,c,Compute optimized,ca-central-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,EBS only,unsupported,0.0372,0.0516,,0.0161,0.0305,
c6gd.medium,c,Compute optimized,ca-central-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,1 x 59 NVMe SSD,unsupported,0.0424,0.0568,,0.0177,0.0321,
c6gn.medium,c,Compute optimized,ca-central-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,EBS only,unsupported,0.0473,0.0617,,0.0205,0.0349,
c7g.medium,c,Compute optimized,ca-central-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,2.0,EBS only,unsupported,0.0395,0.0539,,0.0174,0.0318,
c7gd.medium,c,Compute optimized,ca-central-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,2.0,1 x 59 NVMe SSD,unsupported,0.0501,0.0645,,0.0209,0.0353,
t2.small,t,General purpose,ca-central-1,1.0,xen,"i386, x86_64",Intel,Intel Xeon Family,1.0,2.0,EBS only,unsupported,0.0256,0.04,0.0348,0.0111,0.0255,0.0203
m6g.medium,m6g,General purpose,ca-central-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,4.0,EBS only,unsupported,0.0428,0.0572,,0.0185,0.0329,
m6gd.medium,m6gd,General purpose,ca-central-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,4.0,1 x 59 NVMe SSD,unsupported,0.0504,0.0648,,0.0218,0.0362,
m7g.medium,m7g,General purpose,ca-central-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,4.0,EBS only,unsupported,0.0455,0.0599,,0.0207,0.0351,
is4gen.medium,is4gen,Storage optimized,ca-central-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,6.0,1 x 937 SSD,unsupported,0.1594,0.1738,,0.0692,0.0836,
r6g.medium,r6g,Memory optimized,ca-central-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,8.0,EBS only,unsupported,0.0552,0.0696,,0.0238,0.0382,
r6gd.medium,r6gd,Memory optimized,ca-central-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,8.0,1 x 59 NVMe SSD,unsupported,0.0632,0.0776,,0.0273,0.0417,
r7g.medium,r7g,Memory optimized,ca-central-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,8.0,EBS only,unsupported,0.0587,0.0731,,0.0265,0.0409,
