instanceType,instanceFamily,instanceFamilyName,location,currentGeneration,hypervisor,processorArchitectures,processorManufacturer,processor,vCpus,memorySizeInGiB,storage,nitroEnclavesSupport,onDemandLinuxHr,onDemandRhelHr,onDemandWindowsHr,reserved3yNoUpfrontLinuxHr,reserved3yNoUpfrontRhelHr,reserved3yNoUpfrontWindowsHr
c6g.medium,c,Compute optimized,ca-west-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,EBS only,unsupported,0.0372,0.0516,,0.0161,0.0305,
c6gn.medium,c,Compute optimized,ca-west-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,EBS only,unsupported,0.0473,0.0617,,0.0205,0.0349,
c7g.medium,c,Compute optimized,ca-west-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,2.0,EBS only,unsupported,0.0395,0.0539,,0.0174,0.0318,
m6g.medium,m6g,General purpose,ca-west-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,4.0,EBS only,unsupported,0.0428,0.0572,,0.0185,0.0329,
m6gd.medium,m6gd,General purpose,ca-west-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,4.0,1 x 59 NVMe SSD,unsupported,0.0504,0.0648,,0.0218,0.0362,
r6g.medium,r6g,Memory optimized,ca-west-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,8.0,EBS only,unsupported,0.0552,0.0696,,0.0238,0.0382,
r7g.medium,r7g,Memory optimized,ca-west-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,8.0,EBS only,unsupported,0.0587,0.0731,,0.0265,0.0409,
t3.nano,t,General purpose,ca-west-1,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,0.5,EBS only,unsupported,0.0058,,0.0104,0.0025,,0.0071
t4g.nano,t,General purpose,ca-west-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,0.5,EBS only,unsupported,0.0046,,,0.002,,
t3.micro,t,General purpose,ca-west-1,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,1.0,EBS only,unsupported,0.0116,0.0404,0.0208,0.005,0.0338,0.0142
t4g.micro,t,General purpose,ca-west-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,1.0,EBS only,unsupported,0.0092,0.038,,0.004,0.0328,
t3.small,t,General purpose,ca-west-1,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,2.0,EBS only,unsupported,0.0232,0.052,0.0416,0.01,0.0388,0.0284
t4g.small,t,General purpose,ca-west-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,2.0,EBS only,unsupported,0.0184,0.0472,,0.008,0.0368,
c5.large,c,Compute optimized,ca-west-1,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8124M,2.0,4.0,EBS only,unsupported,0.093,0.122,0.185,0.039,0.068,0.131
c6g.large,c,Compute optimized,ca-west-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,4.0,EBS only,supported,0.0744,0.1032,,0.0321,0.0609,
c6gn.large,c,Compute optimized,ca-west-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,4.0,EBS only,supported,0.0946,0.1234,,0.0411,0.0699,
c6i.large,c,Compute optimized,ca-west-1,1.0,nitro,x86_64,Intel,Intel Xeon 8375C (Ice Lake),2.0,4.0,EBS only,unsupported,0.093,0.1218,0.185,0.0408,0.0696,0.1328
c6id.large,c,Compute optimized,ca-west-1,1.0,nitro,x86_64,Intel,Intel Xeon 8375C (Ice Lake),2.0,4.0,1 x 118 NVMe SSD,unsupported,0.1113,0.1401,0.2033,0.0465,0.0753,0.1385
c7g.large,c,Compute optimized,ca-west-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,2.0,4.0,EBS only,supported,0.0791,0.1079,,0.0347,0.0635,
t3.medium,t,General purpose,ca-west-1,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,4.0,EBS only,unsupported,0.0464,0.0752,0.0648,0.02,0.0488,0.0384
t4g.medium,t,General purpose,ca-west-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,4.0,EBS only,unsupported,0.0368,0.0656,,0.0159,0.0447,
m5.large,m5,General purpose,ca-west-1,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8175,2.0,8.0,EBS only,unsupported,0.107,0.136,0.199,0.046,0.075,0.138
m5d.large,m5d,General purpose,ca-west-1,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8175,2.0,8.0,1 x 75 NVMe SSD,unsupported,0.126,0.155,0.218,0.054,0.083,0.146
m6g.large,m6g,General purpose,ca-west-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,8.0,EBS only,supported,0.0856,0.1144,,0.037,0.0658,
m6gd.large,m6gd,General purpose,ca-west-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,8.0,1 x 118 NVMe SSD,supported,0.1008,0.1296,,0.0435,0.0723,
m6i.large,m6i,General purpose,ca-west-1,1.0,nitro,x86_64,Intel,Intel Xeon 8375C (Ice Lake),2.0,8.0,EBS only,unsupported,0.107,0.1358,0.199,0.0488,0.0776,0.1408
m6id.large,m6id,General purpose,ca-west-1,1.0,nitro,x86_64,Intel,Intel Xeon 8375C (Ice Lake),2.0,8.0,1 x 118 NVMe SSD,unsupported,0.1323,0.1611,0.2243,0.0571,0.0859,0.1492
