instanceType,instanceFamily,instanceFamilyName,location,currentGeneration,hypervisor,processorArchitectures,processorManufacturer,processor,vCpus,memorySizeInGiB,storage,nitroEnclavesSupport,onDemandLinuxHr,onDemandRhelHr,onDemandWindowsHr,reserved3yNoUpfrontLinuxHr,reserved3yNoUpfrontRhelHr,reserved3yNoUpfrontWindowsHr
c6g.medium,c,Compute optimized,eu-central-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,EBS only,unsupported,0.0427,0.0571,,0.0184,0.0328,
c6gd.medium,c,Compute optimized,eu-central-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,1 x 59 NVMe SSD,unsupported,0.049,0.0634,,0.0214,0.0358,
c7g.medium,c,Compute optimized,eu-central-2,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,2.0,EBS only,unsupported,0.0454,0.0598,,0.0207,0.0351,
m6g.medium,m6g,General purpose,eu-central-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,4.0,EBS only,unsupported,0.0506,0.065,,0.0219,0.0363,
m6gd.medium,m6gd,General purpose,eu-central-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,4.0,1 x 59 NVMe SSD,unsupported,0.06,0.0744,,0.0261,0.0405,
m7g.medium,m7g,General purpose,eu-central-2,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,4.0,EBS only,unsupported,0.0538,0.0682,,0.0244,0.0388,
r6g.medium,r6g,Memory optimized,eu-central-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,8.0,EBS only,unsupported,0.0669,0.0813,,0.0289,0.0433,
r6gd.medium,r6gd,Memory optimized,eu-central-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,8.0,1 x 59 NVMe SSD,unsupported,0.0759,0.0903,,0.0327,0.0471,
r7g.medium,r7g,Memory optimized,eu-central-2,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,8.0,EBS only,unsupported,0.0711,0.0855,,0.0322,0.0466,
t3.nano,t,General purpose,eu-central-2,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,0.5,EBS only,unsupported,0.0066,,0.0112,0.0029,,0.0075
t4g.nano,t,General purpose,eu-central-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,0.5,EBS only,unsupported,0.0053,,,0.0023,,
t3.micro,t,General purpose,eu-central-2,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,1.0,EBS only,unsupported,0.0132,0.042,0.0224,0.0057,0.0345,0.0149
t4g.micro,t,General purpose,eu-central-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,1.0,EBS only,unsupported,0.0106,0.0394,,0.0046,0.0334,
t3.small,t,General purpose,eu-central-2,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,2.0,EBS only,unsupported,0.0264,0.0552,0.0448,0.0114,0.0402,0.0298
t4g.small,t,General purpose,eu-central-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,2.0,EBS only,unsupported,0.0211,0.0499,,0.0091,0.0379,
c5.large,c,Compute optimized,eu-central-2,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8124M,2.0,4.0,EBS only,unsupported,0.107,0.136,0.199,0.046,0.075,0.138
c5d.large,c,Compute optimized,eu-central-2,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8124M,2.0,4.0,1 x 50 NVMe SSD,unsupported,0.122,0.151,0.214,0.053,0.082,0.145
c6g.large,c,Compute optimized,eu-central-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,4.0,EBS only,supported,0.0854,0.1142,,0.0369,0.0657,
c6gd.large,c,Compute optimized,eu-central-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,4.0,1 x 118 NVMe SSD,supported,0.0979,0.1267,,0.0428,0.0716,
c6in.large,c,Compute optimized,eu-central-2,1.0,nitro,x86_64,Intel,Intel Xeon 8375C (Ice Lake),2.0,4.0,EBS only,unsupported,0.1423,0.1711,0.2343,0.06,0.0888,0.152
c7g.large,c,Compute optimized,eu-central-2,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,2.0,4.0,EBS only,supported,0.0907,0.1195,,0.0413,0.0701,
t3.medium,t,General purpose,eu-central-2,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,4.0,EBS only,unsupported,0.0528,0.0816,0.0712,0.0228,0.0516,0.0412
t4g.medium,t,General purpose,eu-central-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,4.0,EBS only,unsupported,0.0422,0.071,,0.0182,0.047,
m5.large,m5,General purpose,eu-central-2,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8175,2.0,8.0,EBS only,unsupported,0.127,0.155,0.219,0.055,0.083,0.147
m5d.large,m5d,General purpose,eu-central-2,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8175,2.0,8.0,1 x 75 NVMe SSD,unsupported,0.15,0.178,0.242,0.065,0.093,0.157
m6g.large,m6g,General purpose,eu-central-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,8.0,EBS only,supported,0.1012,0.13,,0.0437,0.0725,
m6gd.large,m6gd,General purpose,eu-central-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,8.0,1 x 118 NVMe SSD,supported,0.1199,0.1487,,0.0523,0.0811,
m6i.large,m6i,General purpose,eu-central-2,1.0,nitro,x86_64,Intel,Intel Xeon 8375C (Ice Lake),2.0,8.0,EBS only,unsupported,0.1265,0.1553,0.2185,0.0574,0.0862,0.1494
m6id.large,m6id,General purpose,eu-central-2,1.0,nitro,x86_64,Intel,Intel Xeon 8375C (Ice Lake),2.0,8.0,1 x 118 NVMe SSD,unsupported,0.1571,0.1859,0.2491,0.0679,0.0967,0.1599
m6idn.large,m6idn,General purpose,eu-central-2,1.0,nitro,x86_64,Intel,Intel Xeon 8375C (Ice Lake),2.0,8.0,1 x 118 NVMe SSD,unsupported,0.2066,0.2354,0.2986,0.0796,0.1084,0.1716
m6in.large,m6in,General purpose,eu-central-2,1.0,nitro,x86_64,Intel,Intel Xeon 8375C (Ice Lake),2.0,8.0,EBS only,unsupported,0.1835,0.2123,0.2755,0.0707,0.0995,0.1627
m7g.large,m7g,General purpose,eu-central-2,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,2.0,8.0,EBS only,supported,0.1075,0.1363,,0.0488,0.0776,
t3.large,t,General purpose,eu-central-2,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,8.0,EBS only,unsupported,0.1056,0.1344,0.1332,0.0456,0.0744,0.0732
t4g.large,t,General purpose,eu-central-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,8.0,EBS only,unsupported,0.0845,0.1133,,0.0365,0.0653,
i3.large,i3,Storage optimized,eu-central-2,1.0,xen,x86_64,Intel,Intel Xeon E5-2686 v4 (Broadwell),2.0,15.25,1 x 475 NVMe SSD,unsupported,0.205,0.233,0.297,0.1,0.129,0.192
i3en.large,i3en,Storage optimized,eu-central-2,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8175,2.0,16.0,1 x 1250 NVMe SSD,unsupported,0.297,0.326,0.389,0.13,0.158,0.222
i4i.large,i4i,Storage optimized,eu-central-2,1.0,nitro,x86_64,Intel,Intel Xeon 8375C (Ice Lake),2.0,16.0,1 x 468 NVMe SSD,unsupported,0.225,0.254,0.317,0.105,0.133,0.197
r5.large,r5,Memory optimized,eu-central-2,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8175,2.0,16.0,EBS only,unsupported,0.167,0.196,0.259,0.072,0.101,0.164
r5d.large,r5d,Memory optimized,eu-central-2,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8175,2.0,16.0,1 x 75 NVMe SSD,unsupported,0.19,0.219,0.282,0.082,0.111,0.174
r6g.large,r6g,Memory optimized,eu-central-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,16.0,EBS only,supported,0.1338,0.1626,,0.0578,0.0866,
r6gd.large,r6gd,Memory optimized,eu-central-2,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,16.0,1 x 118 NVMe SSD,supported,0.1518,0.1806,,0.0653,0.0941,
r6i.large,r6i,Memory optimized,eu-central-2,1.0,nitro,x86_64,Intel,Intel Xeon 8375C (Ice Lake),2.0,16.0,EBS only,unsupported,0.1672,0.196,0.2592,0.0758,0.1046,0.1678
r7g.large,r7g,Memory optimized,eu-central-2,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,2.0,16.0,EBS only,supported,0.1421,0.1709,,0.0645,0.0933,
c5.xlarge,c,Compute optimized,eu-central-2,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8124M,4.0,8.0,EBS only,supported,0.213,0.271,0.397,0.092,0.15,0.276
