instanceType,instanceFamily,instanceFamilyName,location,currentGeneration,hypervisor,processorArchitectures,processorManufacturer,processor,vCpus,memorySizeInGiB,storage,nitroEnclavesSupport,onDemandLinuxHr,onDemandRhelHr,onDemandWindowsHr,reserved3yNoUpfrontLinuxHr,reserved3yNoUpfrontRhelHr,reserved3yNoUpfrontWindowsHr
c6g.medium,c,Compute optimized,eu-north-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,EBS only,unsupported,0.0365,0.0509,,0.0157,0.0301,
c6gd.medium,c,Compute optimized,eu-north-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,1 x 59 NVMe SSD,unsupported,0.0416,0.056,,0.018,0.0324,
c6gn.medium,c,Compute optimized,eu-north-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,EBS only,unsupported,0.0465,0.0609,,0.0232,0.0376,
c7a.medium,c,Compute optimized,eu-north-1,1.0,nitro,x86_64,AMD,AMD EPYC 9R14 Processor,1.0,2.0,EBS only,unsupported,0.0549,0.0693,0.1009,0.0249,0.0393,0.0709
c7g.medium,c,Compute optimized,eu-north-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,2.0,EBS only,unsupported,0.0387,0.0531,,0.0175,0.0319,
c7gd.medium,c,Compute optimized,eu-north-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,2.0,1 x 59 NVMe SSD,unsupported,0.0491,0.0635,,0.0212,0.0356,
c8g.medium,c,Compute optimized,eu-north-1,1.0,nitro,arm64,AWS,AWS Graviton4 Processor,1.0,2.0,EBS only,unsupported,0.0425,0.057,,0.0193,0.0337,
m6g.medium,m6g,General purpose,eu-north-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,4.0,EBS only,unsupported,0.041,0.0554,,0.0178,0.0322,
m6gd.medium,m6gd,General purpose,eu-north-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,4.0,1 x 59 NVMe SSD,unsupported,0.048,0.0624,,0.0205,0.0349,
m7a.medium,m7a,General purpose,eu-north-1,1.0,nitro,x86_64,AMD,AMD EPYC 9R14 Processor,1.0,4.0,EBS only,unsupported,0.0616,0.076,0.1076,0.0279,0.0423,0.0739
m7g.medium,m7g,General purpose,eu-north-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,4.0,EBS only,unsupported,0.0434,0.0578,,0.0197,0.0341,
m7gd.medium,m7gd,General purpose,eu-north-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,4.0,1 x 59 NVMe SSD,unsupported,0.0567,0.0711,,0.0245,0.0389,
m8g.medium,m8g,General purpose,eu-north-1,1.0,nitro,arm64,AWS,AWS Graviton4 Processor,1.0,4.0,EBS only,unsupported,0.0477,0.0621,,0.0216,0.036,
r6g.medium,r6g,Memory optimized,eu-north-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,8.0,EBS only,unsupported,0.0535,0.0679,,0.0232,0.0376,
r6gd.medium,r6gd,Memory optimized,eu-north-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,8.0,1 x 59 NVMe SSD,unsupported,0.0608,0.0752,,0.0263,0.0407,
r7a.medium,r7a,Memory optimized,eu-north-1,1.0,nitro,x86_64,AMD,AMD EPYC 9R14 Processor,1.0,8.0,EBS only,unsupported,0.0809,0.0953,0.1269,0.0367,0.0511,0.0827
r7g.medium,r7g,Memory optimized,eu-north-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,8.0,EBS only,unsupported,0.057,0.0714,,0.0246,0.039,
r7gd.medium,r7gd,Memory optimized,eu-north-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,8.0,1 x 59 NVMe SSD,unsupported,0.0718,0.0862,,0.031,0.0454,
r8g.medium,r8g,Memory optimized,eu-north-1,1.0,nitro,arm64,AWS,AWS Graviton4 Processor,1.0,8.0,EBS only,unsupported,0.0626,0.077,,0.0285,0.0429,
t3.nano,t,General purpose,eu-north-1,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,0.5,EBS only,unsupported,0.0054,,0.01,0.0023,,0.0069
t4g.nano,t,General purpose,eu-north-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,0.5,EBS only,unsupported,0.0043,,,0.0019,,
t3.micro,t,General purpose,eu-north-1,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,1.0,EBS only,unsupported,0.0108,0.0396,0.02,0.0047,0.0335,0.0139
t4g.micro,t,General purpose,eu-north-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,1.0,EBS only,unsupported,0.0086,0.0374,,0.0037,0.0325,
t3.small,t,General purpose,eu-north-1,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,2.0,EBS only,unsupported,0.0216,0.0504,0.04,0.0093,0.0381,0.0277
t4g.small,t,General purpose,eu-north-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,2.0,EBS only,unsupported,0.0172,0.046,,0.0074,0.0362,
c5.large,c,Compute optimized,eu-north-1,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8124M,2.0,4.0,EBS only,unsupported,0.091,0.12,0.183,0.039,0.068,0.131
c5a.large,c,Compute optimized,eu-north-1,1.0,nitro,x86_64,AMD,AMD EPYC 7R32,2.0,4.0,EBS only,unsupported,0.082,0.111,0.174,0.035,0.064,0.127
c5d.large,c,Compute optimized,eu-north-1,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8124M,2.0,4.0,1 x 50 NVMe SSD,unsupported,0.104,0.133,0.196,0.045,0.074,0.137
c6g.large,c,Compute optimized,eu-north-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,4.0,EBS only,supported,0.073,0.1018,,0.0313,0.0601,
c6gd.large,c,Compute optimized,eu-north-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,4.0,1 x 118 NVMe SSD,supported,0.0832,0.112,,0.0359,0.0647,
c6gn.large,c,Compute optimized,eu-north-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,4.0,EBS only,supported,0.093,0.1218,,0.0464,0.0752,
c6i.large,c,Compute optimized,eu-north-1,1.0,nitro,x86_64,Intel,Intel Xeon 8375C (Ice Lake),2.0,4.0,EBS only,unsupported,0.091,0.1198,0.183,0.0413,0.0701,0.1333
c6in.large,c,Compute optimized,eu-north-1,1.0,nitro,x86_64,Intel,Intel Xeon 8375C (Ice Lake),2.0,4.0,EBS only,unsupported,0.1218,0.1506,0.2138,0.051,0.0798,0.143
c7a.large,c,Compute optimized,eu-north-1,1.0,nitro,x86_64,AMD,AMD EPYC 9R14 Processor,2.0,4.0,EBS only,unsupported,0.1099,0.1387,0.2019,0.0498,0.0786,0.1418
c7g.large,c,Compute optimized,eu-north-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,2.0,4.0,EBS only,supported,0.0774,0.1062,,0.0351,0.0639,
c7gd.large,c,Compute optimized,eu-north-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,2.0,4.0,1 x 118 NVMe SSD,supported,0.0983,0.1271,,0.0425,0.0713,
c7i-flex.large,c,Compute optimized,eu-north-1,1.0,nitro,x86_64,Intel,Intel Xeon Scalable (Sapphire Rapids),2.0,4.0,EBS only,unsupported,0.0908,0.1196,0.1782,0.0412,0.07,0.1286
c7i.large,c,Compute optimized,eu-north-1,1.0,nitro,x86_64,Intel,Intel Xeon Scalable (Sapphire Rapids),2.0,4.0,EBS only,unsupported,0.0955,0.1244,0.1875,0.0433,0.0721,0.1353
c8g.large,c,Compute optimized,eu-north-1,1.0,nitro,arm64,AWS,AWS Graviton4 Processor,2.0,4.0,EBS only,supported,0.0851,0.1139,,0.0386,0.0674,
t3.medium,t,General purpose,eu-north-1,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,4.0,EBS only,unsupported,0.0432,0.072,0.0616,0.0187,0.0475,0.0371
t4g.medium,t,General purpose,eu-north-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,4.0,EBS only,unsupported,0.0344,0.0632,,0.0148,0.0436,
c5n.large,c,Compute optimized,eu-north-1,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8124M,2.0,5.25,EBS only,unsupported,0.116,0.145,0.208,0.049,0.077,0.141
m5.large,m5,General purpose,eu-north-1,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8175,2.0,8.0,EBS only,unsupported,0.102,0.131,0.194,0.044,0.073,0.136
