instanceType,instanceFamily,instanceFamilyName,location,currentGeneration,hypervisor,processorArchitectures,processorManufacturer,processor,vCpus,memorySizeInGiB,storage,nitroEnclavesSupport,onDemandLinuxHr,onDemandRhelHr,onDemandWindowsHr,reserved3yNoUpfrontLinuxHr,reserved3yNoUpfrontRhelHr,reserved3yNoUpfrontWindowsHr
t2.nano,t,General purpose,eu-west-3,1.0,xen,"i386, x86_64",Intel,Intel Xeon Family,1.0,0.5,EBS only,unsupported,0.0066,,0.0089,0.0034,,0.0057
t2.micro,t,General purpose,eu-west-3,1.0,xen,"i386, x86_64",Intel,Intel Xeon Family,1.0,1.0,EBS only,unsupported,0.0132,0.0276,0.0178,0.0067,0.0211,0.0113
c6g.medium,c,Compute optimized,eu-west-3,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,EBS only,unsupported,0.0405,0.0549,,0.0173,0.0317,
c6gd.medium,c,Compute optimized,eu-west-3,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,1 x 59 NVMe SSD,unsupported,0.046,0.0604,,0.0199,0.0343,
c6gn.medium,c,Compute optimized,eu-west-3,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,EBS only,unsupported,0.0512,0.0657,,0.0256,0.0401,
c7g.medium,c,Compute optimized,eu-west-3,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,2.0,EBS only,unsupported,0.0429,0.0573,,0.0195,0.0339,
t2.small,t,General purpose,eu-west-3,1.0,xen,"i386, x86_64",Intel,Intel Xeon Family,1.0,2.0,EBS only,unsupported,0.0264,0.0408,0.0356,0.0134,0.0278,0.0226
m6g.medium,m6g,General purpose,eu-west-3,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,4.0,EBS only,unsupported,0.045,0.0594,,0.0194,0.0338,
m6gd.medium,m6gd,General purpose,eu-west-3,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,4.0,1 x 59 NVMe SSD,unsupported,0.0528,0.0672,,0.0228,0.0372,
m7g.medium,m7g,General purpose,eu-west-3,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,4.0,EBS only,unsupported,0.0476,0.062,,0.0217,0.0361,
m7gd.medium,m7gd,General purpose,eu-west-3,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,4.0,1 x 59 NVMe SSD,unsupported,0.0624,0.0768,,0.0269,0.0413,
is4gen.medium,is4gen,Storage optimized,eu-west-3,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,6.0,1 x 937 SSD,unsupported,0.1677,0.1821,,0.0726,0.087,
r6g.medium,r6g,Memory optimized,eu-west-3,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,8.0,EBS only,unsupported,0.059,0.0734,,0.0254,0.0398,
r6gd.medium,r6gd,Memory optimized,eu-west-3,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,8.0,1 x 59 NVMe SSD,unsupported,0.0676,0.082,,0.0292,0.0436,
r7g.medium,r7g,Memory optimized,eu-west-3,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,8.0,EBS only,unsupported,0.0629,0.0773,,0.0284,0.0428,
t3.nano,t,General purpose,eu-west-3,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,0.5,EBS only,unsupported,0.0059,,0.0105,0.0025,,0.0071
t3a.nano,t,General purpose,eu-west-3,1.0,nitro,x86_64,AMD,AMD EPYC 7571,2.0,0.5,EBS only,unsupported,0.0053,,0.0099,0.0023,,0.0069
t4g.nano,t,General purpose,eu-west-3,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,0.5,EBS only,unsupported,0.0047,,,0.002,,
t3.micro,t,General purpose,eu-west-3,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,1.0,EBS only,unsupported,0.0118,0.0406,0.021,0.0051,0.0339,0.0143
t3a.micro,t,General purpose,eu-west-3,1.0,nitro,x86_64,AMD,AMD EPYC 7571,2.0,1.0,EBS only,unsupported,0.0106,0.0394,0.0198,0.0046,0.0334,0.0138
t4g.micro,t,General purpose,eu-west-3,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,1.0,EBS only,unsupported,0.0094,0.0382,,0.0041,0.0329,
