instanceType,instanceFamily,instanceFamilyName,location,currentGeneration,hypervisor,processorArchitectures,processorManufacturer,processor,vCpus,memorySizeInGiB,storage,nitroEnclavesSupport,onDemandLinuxHr,onDemandRhelHr,onDemandWindowsHr,reserved3yNoUpfrontLinuxHr,reserved3yNoUpfrontRhelHr,reserved3yNoUpfrontWindowsHr
c6g.medium,c,Compute optimized,il-central-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,EBS only,unsupported,0.0383,0.0527,,0.0174,0.0318,
c6gn.medium,c,Compute optimized,il-central-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,EBS only,unsupported,0.0512,0.0656,,0.0254,0.0398,
m6g.medium,m6g,General purpose,il-central-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,4.0,EBS only,unsupported,0.0452,0.0596,,0.0193,0.0337,
m6gd.medium,m6gd,General purpose,il-central-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,4.0,1 x 59 NVMe SSD,unsupported,0.0529,0.0673,,0.0229,0.0373,
m7g.medium,m7g,General purpose,il-central-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,4.0,EBS only,unsupported,0.0478,0.0622,,0.0217,0.0361,
r6g.medium,r6g,Memory optimized,il-central-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,8.0,EBS only,unsupported,0.0592,0.0736,,0.0256,0.04,
r7g.medium,r7g,Memory optimized,il-central-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,8.0,EBS only,unsupported,0.0629,0.0773,,0.0285,0.0429,
t3.nano,t,General purpose,il-central-1,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,0.5,EBS only,unsupported,0.006,,0.0106,0.0026,,0.0072
t3a.nano,t,General purpose,il-central-1,1.0,nitro,x86_64,AMD,AMD EPYC 7571,2.0,0.5,EBS only,unsupported,0.0054,,0.01,0.0023,,0.0069
t4g.nano,t,General purpose,il-central-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,0.5,EBS only,unsupported,0.0048,,,0.0021,,
t3.micro,t,General purpose,il-central-1,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,1.0,EBS only,unsupported,0.012,0.0408,0.0212,0.0052,0.034,0.0144
t3a.micro,t,General purpose,il-central-1,1.0,nitro,x86_64,AMD,AMD EPYC 7571,2.0,1.0,EBS only,unsupported,0.0107,0.0395,0.0199,0.0046,0.0334,0.0138
t4g.micro,t,General purpose,il-central-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,1.0,EBS only,unsupported,0.0097,0.0385,,0.0042,0.033,
t3.small,t,General purpose,il-central-1,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,2.0,EBS only,unsupported,0.024,0.0528,0.0424,0.0104,0.0392,0.0288
t3a.small,t,General purpose,il-central-1,1.0,nitro,x86_64,AMD,AMD EPYC 7571,2.0,2.0,EBS only,unsupported,0.0214,0.0502,0.0398,0.0093,0.0381,0.0277
t4g.small,t,General purpose,il-central-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,2.0,EBS only,unsupported,0.0193,0.0481,,0.0083,0.0371,
c5.large,c,Compute optimized,il-central-1,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8124M,2.0,4.0,EBS only,unsupported,0.101,0.13,0.193,0.044,0.072,0.136
c5d.large,c,Compute optimized,il-central-1,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8124M,2.0,4.0,1 x 50 NVMe SSD,unsupported,0.114,0.143,0.206,0.049,0.078,0.141
