instanceType,instanceFamily,instanceFamilyName,location,currentGeneration,hypervisor,processorArchitectures,processorManufacturer,processor,vCpus,memorySizeInGiB,storage,nitroEnclavesSupport,onDemandLinuxHr,onDemandRhelHr,onDemandWindowsHr,reserved3yNoUpfrontLinuxHr,reserved3yNoUpfrontRhelHr,reserved3yNoUpfrontWindowsHr
c6g.medium,c,Compute optimized,me-central-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,EBS only,unsupported,0.0401,0.0545,,0.0182,0.0326,
m6g.medium,m6g,General purpose,me-central-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,4.0,EBS only,unsupported,0.0473,0.0617,,0.0202,0.0346,
m6gd.medium,m6gd,General purpose,me-central-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,4.0,1 x 59 NVMe SSD,unsupported,0.0554,0.0698,,0.0239,0.0383,
m7g.medium,m7g,General purpose,me-central-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,4.0,EBS only,unsupported,0.05,0.0644,,0.0227,0.0371,
m7gd.medium,m7gd,General purpose,me-central-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,4.0,1 x 59 NVMe SSD,unsupported,0.0655,0.0799,,0.0283,0.0427,
r6g.medium,r6g,Memory optimized,me-central-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,8.0,EBS only,unsupported,0.062,0.0764,,0.0268,0.0412,
r7g.medium,r7g,Memory optimized,me-central-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,8.0,EBS only,unsupported,0.0659,0.0803,,0.0299,0.0443,
r7gd.medium,r7gd,Memory optimized,me-central-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,8.0,1 x 59 NVMe SSD,unsupported,0.0832,0.0976,,0.0359,0.0503,
t3.nano,t,General purpose,me-central-1,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,0.5,EBS only,unsupported,0.0063,,0.0109,0.0027,,0.0073
t4g.nano,t,General purpose,me-central-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,0.5,EBS only,unsupported,0.0051,,,0.0022,,
t3.micro,t,General purpose,me-central-1,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,1.0,EBS only,unsupported,0.0125,0.0413,0.0217,0.0054,0.0342,0.0146
t4g.micro,t,General purpose,me-central-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,1.0,EBS only,unsupported,0.0102,0.039,,0.0044,0.0332,
t3.small,t,General purpose,me-central-1,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,2.0,EBS only,unsupported,0.0251,0.0539,0.0435,0.0108,0.0396,0.0292
t4g.small,t,General purpose,me-central-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,2.0,EBS only,unsupported,0.0204,0.0492,,0.0088,0.0376,
c5.large,c,Compute optimized,me-central-1,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8124M,2.0,4.0,EBS only,unsupported,0.106,0.134,0.198,0.046,0.074,0.138
c5d.large,c,Compute optimized,me-central-1,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8124M,2.0,4.0,1 x 50 NVMe SSD,unsupported,0.12,0.149,0.212,0.052,0.081,0.144
c6g.large,c,Compute optimized,me-central-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,4.0,EBS only,supported,0.0803,0.1091,,0.0365,0.0653,
c6in.large,c,Compute optimized,me-central-1,1.0,nitro,x86_64,Intel,Intel Xeon 8375C (Ice Lake),2.0,4.0,EBS only,unsupported,0.1408,0.1696,0.2328,0.0594,0.0882,0.1514
t3.medium,t,General purpose,me-central-1,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,4.0,EBS only,unsupported,0.0502,0.079,0.0686,0.0217,0.0505,0.0401
t4g.medium,t,General purpose,me-central-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,4.0,EBS only,unsupported,0.0408,0.0696,,0.0176,0.0464,
m5.large,m5,General purpose,me-central-1,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8175,2.0,8.0,EBS only,unsupported,0.118,0.147,0.21,0.051,0.08,0.143
m5d.large,m5d,General purpose,me-central-1,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8175,2.0,8.0,1 x 75 NVMe SSD,unsupported,0.139,0.167,0.231,0.06,0.089,0.152
m6g.large,m6g,General purpose,me-central-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,8.0,EBS only,supported,0.0946,0.1234,,0.0404,0.0692,
m6gd.large,m6gd,General purpose,me-central-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,8.0,1 x 118 NVMe SSD,supported,0.1108,0.1396,,0.0479,0.0767,
m6i.large,m6i,General purpose,me-central-1,1.0,nitro,x86_64,Intel,Intel Xeon 8375C (Ice Lake),2.0,8.0,EBS only,unsupported,0.1177,0.1465,0.2097,0.0534,0.0822,0.1454
m7g.large,m7g,General purpose,me-central-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,2.0,8.0,EBS only,supported,0.1,0.1288,,0.0454,0.0742,
m7gd.large,m7gd,General purpose,me-central-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,2.0,8.0,1 x 118 NVMe SSD,supported,0.131,0.1598,,0.0566,0.0854,
t3.large,t,General purpose,me-central-1,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,8.0,EBS only,unsupported,0.1003,0.1291,0.1279,0.0433,0.0721,0.0709
t4g.large,t,General purpose,me-central-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,8.0,EBS only,unsupported,0.0816,0.1104,,0.0352,0.064,
i3.large,i3,Storage optimized,me-central-1,1.0,xen,x86_64,Intel,Intel Xeon E5-2686 v4 (Broadwell),2.0,15.25,1 x 475 NVMe SSD,unsupported,0.189,0.218,0.281,0.093,0.121,0.185
i3en.large,i3en,Storage optimized,me-central-1,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8175,2.0,16.0,1 x 1250 NVMe SSD,unsupported,0.275,0.304,0.367,0.12,0.148,0.212
i4i.large,i4i,Storage optimized,me-central-1,1.0,nitro,x86_64,Intel,Intel Xeon 8375C (Ice Lake),2.0,16.0,1 x 468 NVMe SSD,unsupported,0.208,0.237,0.3,0.097,0.126,0.189
r5.large,r5,Memory optimized,me-central-1,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8175,2.0,16.0,EBS only,unsupported,0.155,0.184,0.247,0.067,0.096,0.159
r5d.large,r5d,Memory optimized,me-central-1,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8175,2.0,16.0,1 x 75 NVMe SSD,unsupported,0.176,0.205,0.268,0.076,0.105,0.168
r6g.large,r6g,Memory optimized,me-central-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,16.0,EBS only,supported,0.1241,0.1529,,0.0536,0.0824,
r6i.large,r6i,Memory optimized,me-central-1,1.0,nitro,x86_64,Intel,Intel Xeon 8375C (Ice Lake),2.0,16.0,EBS only,unsupported,0.1551,0.1839,0.2471,0.0703,0.0992,0.1623
r7g.large,r7g,Memory optimized,me-central-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,2.0,16.0,EBS only,supported,0.1318,0.1606,,0.0598,0.0886,
r7gd.large,r7gd,Memory optimized,me-central-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,2.0,16.0,1 x 118 NVMe SSD,supported,0.1663,0.1951,,0.0719,0.1007,
c5.xlarge,c,Compute optimized,me-central-1,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8124M,4.0,8.0,EBS only,supported,0.211,0.269,0.395,0.091,0.149,0.275
c5d.xlarge,c,Compute optimized,me-central-1,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8124M,4.0,8.0,1 x 100 NVMe SSD,supported,0.24,0.297,0.424,0.104,0.161,0.288
c6g.xlarge,c,Compute optimized,me-central-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,4.0,8.0,EBS only,supported,0.1605,0.2181,,0.073,0.1306,
c6in.xlarge,c,Compute optimized,me-central-1,1.0,nitro,x86_64,Intel,Intel Xeon 8375C (Ice Lake),4.0,8.0,EBS only,supported,0.2816,0.3392,0.4656,0.1188,0.1764,0.3028
g5.xlarge,g5,GPU instance,me-central-1,1.0,nitro,x86_64,AMD,AMD EPYC 7R32,4.0,16.0,1 x 250 GB NVMe SSD,supported,1.234,1.2916,1.418,0.5331,0.5907,0.7171
