instanceType,instanceFamily,instanceFamilyName,location,currentGeneration,hypervisor,processorArchitectures,processorManufacturer,processor,vCpus,memorySizeInGiB,storage,nitroEnclavesSupport,onDemandLinuxHr,onDemandRhelHr,onDemandWindowsHr,reserved3yNoUpfrontLinuxHr,reserved3yNoUpfrontRhelHr,reserved3yNoUpfrontWindowsHr
c6g.medium,c,Compute optimized,me-south-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,EBS only,unsupported,0.0425,0.0569,,0.0184,0.0328,
c6gn.medium,c,Compute optimized,me-south-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,EBS only,unsupported,0.0536,0.068,,0.023,0.0374,
m6g.medium,m6g,General purpose,me-south-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,4.0,EBS only,unsupported,0.047,0.0614,,0.0205,0.0349,
m6gd.medium,m6gd,General purpose,me-south-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,4.0,1 x 59 NVMe SSD,unsupported,0.0554,0.0698,,0.024,0.0384,
m7g.medium,m7g,General purpose,me-south-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,4.0,EBS only,unsupported,0.0561,0.0705,,0.0254,0.0398,
r6g.medium,r6g,Memory optimized,me-south-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,8.0,EBS only,unsupported,0.062,0.0764,,0.0268,0.0412,
r7g.medium,r7g,Memory optimized,me-south-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,8.0,EBS only,unsupported,0.0659,0.0803,,0.0299,0.0443,
t3.nano,t,General purpose,me-south-1,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,0.5,EBS only,unsupported,0.0063,,0.0109,0.0027,,0.0073
t4g.nano,t,General purpose,me-south-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,0.5,EBS only,unsupported,0.005,,,0.0022,,
t3.micro,t,General purpose,me-south-1,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,1.0,EBS only,unsupported,0.0125,0.0413,0.0217,0.0054,0.0342,0.0146
t4g.micro,t,General purpose,me-south-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,1.0,EBS only,unsupported,0.01,0.0388,,0.0043,0.0331,
t3.small,t,General purpose,me-south-1,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,2.0,EBS only,unsupported,0.0251,0.0539,0.0435,0.0108,0.0396,0.0292
