instanceType,instanceFamily,instanceFamilyName,location,currentGeneration,hypervisor,processorArchitectures,processorManufacturer,processor,vCpus,memorySizeInGiB,storage,nitroEnclavesSupport,onDemandLinuxHr,onDemandRhelHr,onDemandWindowsHr,reserved3yNoUpfrontLinuxHr,reserved3yNoUpfrontRhelHr,reserved3yNoUpfrontWindowsHr
c6g.medium,c,Compute optimized,mx-central-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,EBS only,unsupported,0.0357,0.0501,,0.015,0.0294,
c6gn.medium,c,Compute optimized,mx-central-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,EBS only,unsupported,0.0454,0.0598,,0.0195,0.0339,
c7g.medium,c,Compute optimized,mx-central-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,2.0,EBS only,unsupported,0.0381,0.0525,,0.0167,0.0311,
m6g.medium,m6g,General purpose,mx-central-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,4.0,EBS only,unsupported,0.0404,0.0548,,0.0176,0.032,
m6gd.medium,m6gd,General purpose,mx-central-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,4.0,1 x 59 NVMe SSD,unsupported,0.0475,0.0619,,0.0205,0.0349,
m7g.medium,m7g,General purpose,mx-central-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,4.0,EBS only,unsupported,0.0428,0.0572,,0.0194,0.0338,
m7gd.medium,m7gd,General purpose,mx-central-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,4.0,1 x 59 NVMe SSD,unsupported,0.0561,0.0705,,0.0242,0.0386,
r6g.medium,r6g,Memory optimized,mx-central-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,8.0,EBS only,unsupported,0.0529,0.0673,,0.0229,0.0373,
r7g.medium,r7g,Memory optimized,mx-central-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,8.0,EBS only,unsupported,0.0562,0.0706,,0.0255,0.0399,
r7gd.medium,r7gd,Memory optimized,mx-central-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,8.0,1 x 59 NVMe SSD,unsupported,0.0714,0.0858,,0.0309,0.0453,
t3.nano,t,General purpose,mx-central-1,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,0.5,EBS only,unsupported,0.0055,,0.0101,0.0024,,0.007
t4g.nano,t,General purpose,mx-central-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,0.5,EBS only,unsupported,0.0044,,,0.0019,,
t3.micro,t,General purpose,mx-central-1,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,1.0,EBS only,unsupported,0.0109,0.0397,0.0201,0.0047,0.0335,0.0139
t4g.micro,t,General purpose,mx-central-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,1.0,EBS only,unsupported,0.0088,0.0376,,0.0038,0.0326,
t3.small,t,General purpose,mx-central-1,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,2.0,EBS only,unsupported,0.0218,0.0506,0.0402,0.0094,0.0382,0.0278
t4g.small,t,General purpose,mx-central-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,2.0,EBS only,unsupported,0.0176,0.0464,,0.0076,0.0364,
c6g.large,c,Compute optimized,mx-central-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,4.0,EBS only,supported,0.0714,0.1002,,0.0299,0.0587,
