instanceType,instanceFamily,instanceFamilyName,location,currentGeneration,hypervisor,processorArchitectures,processorManufacturer,processor,vCpus,memorySizeInGiB,storage,nitroEnclavesSupport,onDemandLinuxHr,onDemandRhelHr,onDemandWindowsHr,reserved3yNoUpfrontLinuxHr,reserved3yNoUpfrontRhelHr,reserved3yNoUpfrontWindowsHr
t2.nano,t,General purpose,sa-east-1,1.0,xen,"i386, x86_64",Intel,Intel Xeon Family,1.0,0.5,EBS only,unsupported,0.0093,,0.0116,0.004,,0.0063
t1.micro,t,Micro instances,sa-east-1,0.0,xen,"i386, x86_64",Intel,Variable,1.0,0.61,EBS only,unsupported,0.027,0.041,0.037,,,
t2.micro,t,General purpose,sa-east-1,1.0,xen,"i386, x86_64",Intel,Intel Xeon Family,1.0,1.0,EBS only,unsupported,0.0186,0.033,0.0232,0.0081,0.0225,0.0127
m1.small,m1,General purpose,sa-east-1,0.0,xen,"i386, x86_64",Intel,Intel Xeon Family,1.0,1.7,1 x 160 SSD,unsupported,0.058,0.072,0.089,,,
c6g.medium,c,Compute optimized,sa-east-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,EBS only,unsupported,0.0524,0.0668,,0.0226,0.037,
c6gd.medium,c,Compute optimized,sa-east-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,1 x 59 NVMe SSD,unsupported,0.0595,0.0739,,0.0259,0.0403,
c6gn.medium,c,Compute optimized,sa-east-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,EBS only,unsupported,0.0665,0.0809,,0.0319,0.0463,
c7g.medium,c,Compute optimized,sa-east-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,2.0,EBS only,unsupported,0.0555,0.0699,,0.0252,0.0852,
c8g.medium,c,Compute optimized,sa-east-1,1.0,nitro,arm64,AWS,AWS Graviton4 Processor,1.0,2.0,EBS only,unsupported,0.0611,0.0755,,0.0278,0.0421,
t2.small,t,General purpose,sa-east-1,1.0,xen,"i386, x86_64",Intel,Intel Xeon Family,1.0,2.0,EBS only,unsupported,0.0372,0.0516,0.0464,0.0162,0.0306,0.0254
m1.medium,m1,General purpose,sa-east-1,0.0,xen,"i386, x86_64",Intel,Intel Xeon Family,1.0,3.7,1 x 410 SSD,unsupported,0.117,0.131,0.179,,,
m3.medium,m3,General purpose,sa-east-1,0.0,xen,x86_64,Intel,Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge),1.0,3.75,1 x 4 SSD,unsupported,0.095,0.109,0.158,,,
m6g.medium,m6g,General purpose,sa-east-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,4.0,EBS only,unsupported,0.0612,0.0756,,0.0264,0.0408,
m6gd.medium,m6gd,General purpose,sa-east-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,4.0,1 x 59 NVMe SSD,unsupported,0.072,0.0864,,0.0311,0.0455,
m7g.medium,m7g,General purpose,sa-east-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,4.0,EBS only,unsupported,0.065,0.0794,,0.0294,0.0438,
m7gd.medium,m7gd,General purpose,sa-east-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,4.0,1 x 59 NVMe SSD,unsupported,0.0851,0.0995,,0.0367,0.0511,
r6g.medium,r6g,Memory optimized,sa-east-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,8.0,EBS only,unsupported,0.0804,0.0948,,0.0347,0.0491,
r6gd.medium,r6gd,Memory optimized,sa-east-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,8.0,1 x 59 NVMe SSD,unsupported,0.0912,0.1056,,0.0394,0.0538,
r7g.medium,r7g,Memory optimized,sa-east-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,8.0,EBS only,unsupported,0.0852,0.0996,,0.0387,0.0987,
t3.nano,t,General purpose,sa-east-1,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,0.5,EBS only,unsupported,0.0084,,0.013,0.0036,,0.0082
t3a.nano,t,General purpose,sa-east-1,1.0,nitro,x86_64,AMD,AMD EPYC 7571,2.0,0.5,EBS only,unsupported,0.0076,,0.0122,0.0033,,0.0079
t4g.nano,t,General purpose,sa-east-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,0.5,EBS only,unsupported,0.0067,,,0.0029,,
t3.micro,t,General purpose,sa-east-1,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,1.0,EBS only,unsupported,0.0168,0.0456,0.026,0.0073,0.0361,0.0165
