instanceType,instanceFamily,instanceFamilyName,location,currentGeneration,hypervisor,processorArchitectures,processorManufacturer,processor,vCpus,memorySizeInGiB,storage,nitroEnclavesSupport,onDemandLinuxHr,onDemandRhelHr,onDemandWindowsHr,reserved3yNoUpfrontLinuxHr,reserved3yNoUpfrontRhelHr,reserved3yNoUpfrontWindowsHr
t2.nano,t,General purpose,us-east-1,1.0,xen,"i386, x86_64",Intel,Intel Xeon Family,1.0,0.5,EBS only,unsupported,0.0058,,0.0081,0.0025,,0.0048
t1.micro,t,Micro instances,us-east-1,0.0,xen,"i386, x86_64",Intel,Variable,1.0,0.61,EBS only,unsupported,0.02,0.03,0.02,,,
t2.micro,t,General purpose,us-east-1,1.0,xen,"i386, x86_64",Intel,Intel Xeon Family,1.0,1.0,EBS only,unsupported,0.0116,0.026,0.0162,0.005,0.0194,0.0096
m1.small,m1,General purpose,us-east-1,0.0,xen,"i386, x86_64",Intel,Intel Xeon Family,1.0,1.7,1 x 160 SSD,unsupported,0.044,0.058,0.075,,,
a1.medium,a1,General purpose,us-east-1,0.0,nitro,arm64,AWS,AWS Graviton Processor,1.0,2.0,EBS only,unsupported,0.0255,0.0399,,0.011,0.0254,
c6g.medium,c,Compute optimized,us-east-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,EBS only,unsupported,0.034,0.0484,,0.0147,0.0286,
c6gd.medium,c,Compute optimized,us-east-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,1 x 59 NVMe SSD,unsupported,0.0384,0.0528,,0.0166,0.031,
c6gn.medium,c,Compute optimized,us-east-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,EBS only,unsupported,0.0432,0.0576,,0.0186,0.033,
c7a.medium,c,Compute optimized,us-east-1,1.0,nitro,x86_64,AMD,AMD EPYC 9R14 Processor,1.0,2.0,EBS only,unsupported,0.0513,0.0657,0.0973,0.0226,0.037,0.0686
c7g.medium,c,Compute optimized,us-east-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,2.0,EBS only,unsupported,0.0363,0.0507,,0.0159,0.0303,
c7gd.medium,c,Compute optimized,us-east-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,2.0,1 x 59 NVMe SSD,unsupported,0.0454,0.0598,,0.019,0.0334,
c7gn.medium,c,Compute optimized,us-east-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,2.0,EBS only,unsupported,0.0624,0.0768,,0.0226,0.037,
c8g.medium,c,Compute optimized,us-east-1,1.0,nitro,arm64,AWS,AWS Graviton4 Processor,1.0,2.0,EBS only,unsupported,0.0399,0.0543,,0.0175,0.0319,
c8gd.medium,c,Compute optimized,us-east-1,1.0,nitro,arm64,AWS,AWS Graviton4 Processor,1.0,2.0,1 x 59 NVMe SSD,unsupported,0.049,0.0634,,,,
t2.small,t,General purpose,us-east-1,1.0,xen,"i386, x86_64",Intel,Intel Xeon Family,1.0,2.0,EBS only,unsupported,0.023,0.0376,0.032,0.01,0.0244,0.0192
m1.medium,m1,General purpose,us-east-1,0.0,xen,"i386, x86_64",Intel,Intel Xeon Family,1.0,3.7,1 x 410 SSD,unsupported,0.087,0.101,0.149,,,
