instanceType,instanceFamily,instanceFamilyName,location,currentGeneration,hypervisor,processorArchitectures,processorManufacturer,processor,vCpus,memorySizeInGiB,storage,nitroEnclavesSupport,onDemandLinuxHr,onDemandRhelHr,onDemandWindowsHr,reserved3yNoUpfrontLinuxHr,reserved3yNoUpfrontRhelHr,reserved3yNoUpfrontWindowsHr
c6g.medium,c,Compute optimized,us-gov-east-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,EBS only,unsupported,0.0408,0.0552,,0.0176,0.032,
c6gd.medium,c,Compute optimized,us-gov-east-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,1 x 59 NVMe SSD,unsupported,0.0464,0.0608,,0.0189,0.0333,
c6gn.medium,c,Compute optimized,us-gov-east-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,EBS only,unsupported,0.052,0.0664,,0.0224,0.0368,
c7g.medium,c,Compute optimized,us-gov-east-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,2.0,EBS only,unsupported,0.0434,0.0578,,0.0181,0.0325,
c7gd.medium,c,Compute optimized,us-gov-east-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,2.0,1 x 59 NVMe SSD,unsupported,0.0548,0.0692,,0.0223,0.0367,
m6g.medium,m6g,General purpose,us-gov-east-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,4.0,EBS only,unsupported,0.0484,0.0628,,0.0209,0.0353,
m6gd.medium,m6gd,General purpose,us-gov-east-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,4.0,1 x 59 NVMe SSD,unsupported,0.0572,0.0716,,0.0247,0.0391,
m7g.medium,m7g,General purpose,us-gov-east-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,4.0,EBS only,unsupported,0.0514,0.0658,,0.0233,0.0377,
r6g.medium,r6g,Memory optimized,us-gov-east-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,8.0,EBS only,unsupported,0.0604,0.0748,,0.0261,0.0405,
r6gd.medium,r6gd,Memory optimized,us-gov-east-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,8.0,1 x 59 NVMe SSD,unsupported,0.0692,0.0836,,0.0299,0.0443,
r7g.medium,r7g,Memory optimized,us-gov-east-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,8.0,EBS only,unsupported,0.0642,0.0786,,0.0291,0.0435,
r7gd.medium,r7gd,Memory optimized,us-gov-east-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,8.0,1 x 59 NVMe SSD,unsupported,0.0817,0.0961,,0.0353,0.0497,
