instanceType,instanceFamily,instanceFamilyName,location,currentGeneration,hypervisor,processorArchitectures,processorManufacturer,processor,vCpus,memorySizeInGiB,storage,nitroEnclavesSupport,onDemandLinuxHr,onDemandRhelHr,onDemandWindowsHr,reserved3yNoUpfrontLinuxHr,reserved3yNoUpfrontRhelHr,reserved3yNoUpfrontWindowsHr
t2.nano,t,General purpose,us-gov-west-1,1.0,xen,"i386, x86_64",Intel,Intel Xeon Family,1.0,0.5,EBS only,unsupported,0.0068,,0.0091,0.0032,,0.0055
t1.micro,t,Micro instances,us-gov-west-1,0.0,xen,"i386, x86_64",Intel,Variable,1.0,0.61,EBS only,unsupported,0.024,0.038,0.025,,,
t2.micro,t,General purpose,us-gov-west-1,1.0,xen,"i386, x86_64",Intel,Intel Xeon Family,1.0,1.0,EBS only,unsupported,0.0136,0.028,0.0182,0.0064,0.0208,0.011
m1.small,m1,General purpose,us-gov-west-1,0.0,xen,"i386, x86_64",Intel,Intel Xeon Family,1.0,1.7,1 x 160 SSD,unsupported,0.053,0.067,0.084,,,
c6g.medium,c,Compute optimized,us-gov-west-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,EBS only,unsupported,0.0408,0.0552,,0.0176,0.032,
c6gd.medium,c,Compute optimized,us-gov-west-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,1 x 59 NVMe SSD,unsupported,0.0464,0.0608,,0.0189,0.0333,
c6gn.medium,c,Compute optimized,us-gov-west-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,EBS only,unsupported,0.052,0.0664,,0.0224,0.0368,
c7g.medium,c,Compute optimized,us-gov-west-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,2.0,EBS only,unsupported,0.0434,0.0578,,0.0181,0.0325,
c7gd.medium,c,Compute optimized,us-gov-west-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,2.0,1 x 59 NVMe SSD,unsupported,0.0548,0.0692,,0.0223,0.0367,
t2.small,t,General purpose,us-gov-west-1,1.0,xen,"i386, x86_64",Intel,Intel Xeon Family,1.0,2.0,EBS only,unsupported,0.0272,0.0416,0.0364,0.0128,0.0272,0.022
m1.medium,m1,General purpose,us-gov-west-1,0.0,xen,"i386, x86_64",Intel,Intel Xeon Family,1.0,3.7,1 x 410 SSD,unsupported,0.106,0.12,0.168,,,
m3.medium,m3,General purpose,us-gov-west-1,0.0,xen,x86_64,Intel,Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge),1.0,3.75,1 x 4 SSD,unsupported,0.084,0.098,0.147,,,
m6g.medium,m6g,General purpose,us-gov-west-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,4.0,EBS only,unsupported,0.0484,0.0628,,0.0209,0.0353,
m6gd.medium,m6gd,General purpose,us-gov-west-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,4.0,1 x 59 NVMe SSD,unsupported,0.0572,0.0716,,0.0247,0.0391,
m7g.medium,m7g,General purpose,us-gov-west-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,4.0,EBS only,unsupported,0.0514,0.0658,,0.0233,0.0377,
r6g.medium,r6g,Memory optimized,us-gov-west-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,8.0,EBS only,unsupported,0.0604,0.0748,,0.0261,0.0405,
r6gd.medium,r6gd,Memory optimized,us-gov-west-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,8.0,1 x 59 NVMe SSD,unsupported,0.0692,0.0836,,0.0299,0.0443,
r7g.medium,r7g,Memory optimized,us-gov-west-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,8.0,EBS only,unsupported,0.0642,0.0786,,0.0291,0.0435,
r7gd.medium,r7gd,Memory optimized,us-gov-west-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,8.0,1 x 59 NVMe SSD,unsupported,0.0818,0.0962,,0.0353,0.0497,
r8g.medium,r8g,Memory optimized,us-gov-west-1,1.0,nitro,arm64,AWS,AWS Graviton4 Processor,1.0,8.0,EBS only,unsupported,0.0706,0.085,,,,
t3.nano,t,General purpose,us-gov-west-1,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,0.5,EBS only,unsupported,0.0061,,0.0107,0.0026,,0.0072
t3a.nano,t,General purpose,us-gov-west-1,1.0,nitro,x86_64,AMD,AMD EPYC 7571,2.0,0.5,EBS only,unsupported,0.0055,,0.0101,0.0024,,0.007
t4g.nano,t,General purpose,us-gov-west-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,0.5,EBS only,unsupported,0.0049,,,0.0024,,
t3.micro,t,General purpose,us-gov-west-1,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,1.0,EBS only,unsupported,0.0122,0.041,0.0214,0.0053,0.0341,0.0145
t3a.micro,t,General purpose,us-gov-west-1,1.0,nitro,x86_64,AMD,AMD EPYC 7571,2.0,1.0,EBS only,unsupported,0.011,0.0398,0.0202,0.0047,0.0335,0.0139
t4g.micro,t,General purpose,us-gov-west-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,1.0,EBS only,unsupported,0.0098,0.0386,,0.0047,0.0335,
c1.medium,c,Compute optimized,us-gov-west-1,0.0,xen,"i386, x86_64",Intel,Intel Xeon Family,2.0,1.7,1 x 350 SSD,unsupported,0.157,0.186,0.237,,,
t3.small,t,General purpose,us-gov-west-1,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,2.0,EBS only,unsupported,0.0244,0.0532,0.0428,0.0105,0.0393,0.0289
t3a.small,t,General purpose,us-gov-west-1,1.0,nitro,x86_64,AMD,AMD EPYC 7571,2.0,2.0,EBS only,unsupported,0.022,0.0508,0.0404,0.0095,0.0383,0.0279
t4g.small,t,General purpose,us-gov-west-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,2.0,EBS only,unsupported,0.0196,0.0484,,0.0094,0.0382,
c3.large,c,Compute optimized,us-gov-west-1,0.0,xen,"i386, x86_64",Intel,Intel Xeon E5-2680 v2 (Ivy Bridge),2.0,3.75,2 x 16 SSD,unsupported,0.126,0.155,0.209,,,
c4.large,c,Compute optimized,us-gov-west-1,0.0,xen,x86_64,Intel,Intel Xeon E5-2666 v3 (Haswell),2.0,3.75,EBS only,unsupported,0.12,0.149,0.212,0.052,0.081,0.144
c5.large,c,Compute optimized,us-gov-west-1,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8124M,2.0,4.0,EBS only,unsupported,0.102,0.131,0.194,0.041,0.069,0.133
c5a.large,c,Compute optimized,us-gov-west-1,1.0,nitro,x86_64,AMD,AMD EPYC 7R32,2.0,4.0,EBS only,unsupported,0.092,0.121,0.184,0.04,0.069,0.132
c5d.large,c,Compute optimized,us-gov-west-1,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8124M,2.0,4.0,1 x 50 NVMe SSD,unsupported,0.116,0.145,0.208,0.047,0.076,0.139
c6g.large,c,Compute optimized,us-gov-west-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,4.0,EBS only,supported,0.0816,0.1104,,0.0353,0.0641,
c6gd.large,c,Compute optimized,us-gov-west-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,4.0,1 x 118 NVMe SSD,supported,0.0928,0.1216,,0.0378,0.0666,
