instanceType,instanceFamily,instanceFamilyName,location,currentGeneration,hypervisor,processorArchitectures,processorManufacturer,processor,vCpus,memorySizeInGiB,storage,nitroEnclavesSupport,onDemandLinuxHr,onDemandRhelHr,onDemandWindowsHr,reserved3yNoUpfrontLinuxHr,reserved3yNoUpfrontRhelHr,reserved3yNoUpfrontWindowsHr
t2.nano,t,General purpose,us-west-1,1.0,xen,"i386, x86_64",Intel,Intel Xeon Family,1.0,0.5,EBS only,unsupported,0.0069,,0.0092,0.0034,,0.0057
t1.micro,t,Micro instances,us-west-1,0.0,xen,"i386, x86_64",Intel,Variable,1.0,0.61,EBS only,unsupported,0.025,0.039,0.035,,,
t2.micro,t,General purpose,us-west-1,1.0,xen,"i386, x86_64",Intel,Intel Xeon Family,1.0,1.0,EBS only,unsupported,0.0138,0.0282,0.0184,0.0069,0.0213,0.0115
m1.small,m1,General purpose,us-west-1,0.0,xen,"i386, x86_64",Intel,Intel Xeon Family,1.0,1.7,1 x 160 SSD,unsupported,0.047,0.061,0.078,,,
c6g.medium,c,Compute optimized,us-west-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,EBS only,unsupported,0.0424,0.0568,,0.0183,0.0327,
c6gd.medium,c,Compute optimized,us-west-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,1 x 59 NVMe SSD,unsupported,0.048,0.0624,,0.0205,0.0349,
c6gn.medium,c,Compute optimized,us-west-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,2.0,EBS only,unsupported,0.054,0.0684,,0.0256,0.0401,
c7g.medium,c,Compute optimized,us-west-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,2.0,EBS only,unsupported,0.0451,0.0595,,0.0205,0.0349,
c7gd.medium,c,Compute optimized,us-west-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,2.0,1 x 59 NVMe SSD,unsupported,0.0567,0.0711,,0.0245,0.0389,
c8g.medium,c,Compute optimized,us-west-1,1.0,nitro,arm64,AWS,AWS Graviton4 Processor,1.0,2.0,EBS only,unsupported,0.0496,0.064,,0.0225,0.0369,
t2.small,t,General purpose,us-west-1,1.0,xen,"i386, x86_64",Intel,Intel Xeon Family,1.0,2.0,EBS only,unsupported,0.0276,0.042,0.0368,0.0138,0.0282,0.023
m1.medium,m1,General purpose,us-west-1,0.0,xen,"i386, x86_64",Intel,Intel Xeon Family,1.0,3.7,1 x 410 SSD,unsupported,0.095,0.109,0.157,,,
m3.medium,m3,General purpose,us-west-1,0.0,xen,x86_64,Intel,Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge),1.0,3.75,1 x 4 SSD,unsupported,0.077,0.091,0.14,,,
m6g.medium,m6g,General purpose,us-west-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,4.0,EBS only,unsupported,0.0448,0.0592,,0.0194,0.0338,
m6gd.medium,m6gd,General purpose,us-west-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,4.0,1 x 59 NVMe SSD,unsupported,0.053,0.0674,,0.0232,0.0376,
m7g.medium,m7g,General purpose,us-west-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,4.0,EBS only,unsupported,0.0476,0.062,,0.0217,0.0361,
m7gd.medium,m7gd,General purpose,us-west-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,4.0,1 x 59 NVMe SSD,unsupported,0.0628,0.0772,,0.0271,0.0415,
m8g.medium,m8g,General purpose,us-west-1,1.0,nitro,arm64,AWS,AWS Graviton4 Processor,1.0,4.0,EBS only,unsupported,0.0524,0.0668,,0.0239,0.0383,
r6g.medium,r6g,Memory optimized,us-west-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,8.0,EBS only,unsupported,0.056,0.0704,,0.0242,0.0386,
r6gd.medium,r6gd,Memory optimized,us-west-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,1.0,8.0,1 x 59 NVMe SSD,unsupported,0.065,0.0794,,0.0281,0.0425,
r7g.medium,r7g,Memory optimized,us-west-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,8.0,EBS only,unsupported,0.0595,0.0739,,0.027,0.0414,
r7gd.medium,r7gd,Memory optimized,us-west-1,1.0,nitro,arm64,AWS,AWS Graviton3 Processor,1.0,8.0,1 x 59 NVMe SSD,unsupported,0.0765,0.0909,,0.0331,0.0475,
r8g.medium,r8g,Memory optimized,us-west-1,1.0,nitro,arm64,AWS,AWS Graviton4 Processor,1.0,8.0,EBS only,unsupported,0.0654,0.0799,,0.0297,0.0441,
t3.nano,t,General purpose,us-west-1,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,0.5,EBS only,unsupported,0.0062,,0.0108,0.0027,,0.0073
t3a.nano,t,General purpose,us-west-1,1.0,nitro,x86_64,AMD,AMD EPYC 7571,2.0,0.5,EBS only,unsupported,0.0056,,0.0102,0.0024,,0.007
t4g.nano,t,General purpose,us-west-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,0.5,EBS only,unsupported,0.005,,,0.0022,,
t3.micro,t,General purpose,us-west-1,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,1.0,EBS only,unsupported,0.0124,0.0412,0.0216,0.0054,0.0342,0.0146
t3a.micro,t,General purpose,us-west-1,1.0,nitro,x86_64,AMD,AMD EPYC 7571,2.0,1.0,EBS only,unsupported,0.0112,0.04,0.0204,0.0048,0.0336,0.014
t4g.micro,t,General purpose,us-west-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,1.0,EBS only,unsupported,0.01,0.0388,,0.0043,0.0331,
c1.medium,c,Compute optimized,us-west-1,0.0,xen,"i386, x86_64",Intel,Intel Xeon Family,2.0,1.7,1 x 350 SSD,unsupported,0.148,0.177,0.228,,,
t3.small,t,General purpose,us-west-1,1.0,nitro,x86_64,Intel,Intel Skylake E5 2686 v5,2.0,2.0,EBS only,unsupported,0.0248,0.0536,0.0432,0.0107,0.0395,0.0291
t3a.small,t,General purpose,us-west-1,1.0,nitro,x86_64,AMD,AMD EPYC 7571,2.0,2.0,EBS only,unsupported,0.0223,0.0511,0.0407,0.0096,0.0384,0.028
t4g.small,t,General purpose,us-west-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,2.0,EBS only,unsupported,0.02,0.0488,,0.0086,0.0374,
c3.large,c,Compute optimized,us-west-1,0.0,xen,"i386, x86_64",Intel,Intel Xeon E5-2680 v2 (Ivy Bridge),2.0,3.75,2 x 16 SSD,unsupported,0.12,0.149,0.188,0.06,0.089,0.152
c4.large,c,Compute optimized,us-west-1,0.0,xen,x86_64,Intel,Intel Xeon E5-2666 v3 (Haswell),2.0,3.75,EBS only,unsupported,0.124,0.153,0.216,0.062,0.09,0.154
c5.large,c,Compute optimized,us-west-1,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8124M,2.0,4.0,EBS only,unsupported,0.106,0.135,0.198,0.046,0.075,0.138
c5a.large,c,Compute optimized,us-west-1,1.0,nitro,x86_64,AMD,AMD EPYC 7R32,2.0,4.0,EBS only,unsupported,0.095,0.124,0.187,0.041,0.07,0.133
c5d.large,c,Compute optimized,us-west-1,1.0,nitro,x86_64,Intel,Intel Xeon Platinum 8124M,2.0,4.0,1 x 50 NVMe SSD,unsupported,0.12,0.149,0.212,0.052,0.081,0.144
c6a.large,c,Compute optimized,us-west-1,1.0,nitro,x86_64,AMD,AMD EPYC 7R13 Processor,2.0,4.0,EBS only,unsupported,0.0954,0.1242,0.1874,0.0434,0.0722,0.1354
c6g.large,c,Compute optimized,us-west-1,1.0,nitro,arm64,AWS,AWS Graviton2 Processor,2.0,4.0,EBS only,supported,0.0848,0.1136,,0.0366,0.0654,
